Strategy,Instrument,Data series,Parameters,Position,Acct. position,Sync,Avg. price,Unrealized,Realized,Account display name,Connection,Enabled,
BEEFBowl,MNQ DEC25,15 Minute,True/200/1 (o1/pro/q1),-,-,,0,$0.00,$0.00,PAAPEX3982600000010,,False,
Grass Fed Prime Beef,NQ DEC25,15 Minute,4/0/39/80/1 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,APEX3982600000050,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000021,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000016,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000015,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000012,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000006,,False,
Grass Fed Prime Beef 2.0,MNQ DEC25,15 Minute,True/True/True/True/True/20/False/True/True/True/125/True/1/1/50/80/True/True/True/True/True/True/1/125/True/True/True (b1/b2/b3/b4/b5/be/enpt/enra/fri/Long/min/Mo/q1/q2/rr1/rr2/s1/s2/s3/s4/s5/Short/sl1/slp/thu/Tu/Wed),-,-,,0,$0.00,$0.00,PAAPEX3982600000022,,False,
BEEFBowl,NQ DEC25,15 Minute,True/3040/4 (o1/pro/q1),-,-,,0,$0.00,$0.00,APEX3982600000056,,False,
BEEFBowl,NQ DEC25,15 Minute,True/3040/4 (o1/pro/q1),-,-,,0,$0.00,$0.00,APEX3982600000054,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,Sim104,,False,
Primebeef,NQ DEC25,15 Minute,1/1/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000023,,False,
Primebeef,MNQ DEC25,15 Minute,2/2/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000014,,False,
Primebeef,MNQ DEC25,15 Minute,2/2/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000004,,False,
Primebeef,NQ DEC25,15 Minute,1/1/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,Sim101,,False,
Primebeef,NQ DEC25,15 Minute,1/1/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,Sim103,,False,
Primebeef,NQ DEC25,15 Minute,1/1/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,SimSim102,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000019,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000011,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000009,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000008,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000007,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000005,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000003,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000002,,False,
Primebeef,MNQ DEC25,15 Minute,3/3/10/50/0.6 (q1/q2/rr1/rr2/sl1),-,-,,0,$0.00,$0.00,PAAPEX3982600000001,,False,
